OBP,Score
BhorOBPm2 C-ter113,1000.1
AcerCSP4,312.74
LstrOBP2,200.4
MmedOBP10,200.4
NlugOBP8,200.4
SfurOBP11,200.4
BtabCSP2,200.2
BtabCSP3,200.2
AlinOBP1,198.79
AlinCSP2,191.54
AlinCSP3,175.94
MmedOBP8,175.57
AlinCSP1,169.68
BtabCSP1,155.43
AlinOBP13,150.3
HarmOBP17,150.3
AlinOBP3,143.47
MmedOBP9,128.43
HarmOBP18,127.69999999999999
GmolOBP3,119.45
BhorOBPm2 Y50F,111.11
GmolGOBP1,100.78
CninOBP1,100.5
CninOBP2,100.5
CninOBP6,100.5
CninOBP9,100.5
CpalOBP1,100.5
CpalOBP2,100.5
CpalOBP3,100.5
CpalOBP15,100.5
AgosOBP2,100.2
AgosOBP4,100.2
AgosOBP6,100.2
AgosOBP7,100.2
AlinOBP10,100.2
MmedOBP1,100.1
GmolOBP15,96.01
AlinCSP6,90.30000000000001
AlinOBP6,90.30000000000001
AlinOBP11,90.30000000000001
CninOBP10,89.14000000000001
GmolOBP11,87.25
CpalOBP6,87.02000000000001
CpalOBP10,84.68
CmedOBP3,82.0
AgosOBP3,81.8
AgosOBP8,81.2
OasiCSP4,75.83
AmalOBP3,70.1
CpunGOP2,68.07
McinOBP1,66.53
LmigOBP4,65.99000000000001
AmalCSP5,63.63
AcerCSP2,60.59
AfasOBP11,60.300000000000004
LmigOBP1,60.300000000000004
CsasGOBP1,60.2
CsasGOBP2,60.2
CsasPBP1,60.2
CsasPBP2,60.2
OasiCSP11,57.43
GmolOBP8,55.81
HarmOBP5,53.01
GmelGOBP2,51.46
CsupOBP8,50.1
HoblOBP3,50.1
HparOBP20,50.1
HparOBP49,50.1
SlitCSP3,50.1
SlitCSP8,50.1
SlitCSP11,50.1
GmolOBP12,49.31
GdauOBP20,48.83
GmolCSP8,48.2
AcerOBP2,47.69
HoblOBP1,46.61
AlinCSP5,42.790000000000006
CmedCSP3,40.2
AlinOBP5,40.1
DcitOBP9,40.1
DcitCSP8,40.1
DcitCSP10,40.1
AmalOBP8,40.1
CsasPBP3,36.43
CmedCSP1,33.45
MmedCSP3,32.87
NlugCSP10,32.76
OachPBP2,32.1
GmolOBP7,31.72
GmolOBP16,31.68
AcerOBP10,31.35
GmolOBP5,30.93
AlucOBP7,30.58
AlinCSP4,30.400000000000002
CforOBP2,30.130000000000003
CsupCSP2,30.1
CsupCSP3,30.1
CsupOBP11,30.1
CsupOBP15,30.1
CsupOBP17,30.1
CsupOBP19,30.1
CsupOBP31,30.1
OasiCSP12,30.07
McinOBP4,26.91
CmedPBP4,26.62
CmedOBP2,24.6
CmedOBP14,24.16
SlitGOBP1,23.49
CmedCSP2,20.689999999999998
HassPBP3,20.1
AlepGOBP1,20.1
AlepGOBP2,20.1
AlepPBP1,20.1
CsupGOBP1,20.1
CsupGOBP2,20.1
CsupOBP3,20.1
PameOBP24,19.990000000000002
AlucOBP33,19.58
BhorOBPm2,19.14
PxylOBP24,18.74
DcitOBP8,17.43
PameCSP7,16.89
GmolOBP4,16.6
CsupCSP1,15.43
NlugCSP8,14.4
GmolOBP10,13.42
DcitCSP1,11.71
DcitOBP6,11.69
NlugCSP3,11.59
AlinOBP4,11.05
HoblOBP4,11.0
DcitCSP12,10.64
CpunGOP1,10.28
CpinGOBP1,10.1
CpinGOBP2,10.1
CpinPBP1,10.1
CpinPBP3,10.1
CpinPBP4,10.1
SzeaOBP1,9.92
CforOBP3,8.5
SfurOBP3,8.49
MsepCSP5,8.46
HarmOBP7,8.1
GmolPBP2,7.99
SaveOBP9,7.31
LstiGOBP2,7.3
DcitOBP3,7.13
CpunPBP5,7.01
HassPBP2,4.44
CpunPBP2,4.34
AcerOBP11,4.32
BminOBP9,3.92
BminOBP9 L36F,3.63
BminOBP9 S24P,3.6
HassPBP1,2.63
BminOBP9 H29Y,2.5
CpinPBP2,2.12
BminOBP9 P99A,1.56
BminOBP9 E94V,1.3
CforOBP1,0.9
AmelOBP14,0.44
